2010-01,2815
2010-02,2672
2010-03,2755
2010-04,2721
2010-05,2946
2010-06,3036
2010-07,2282
2010-08,2212
2010-09,2922
2010-10,4301
2010-11,5764
2010-12,7312
2011-01,2541
2011-02,2475
2011-03,3031
2011-04,3266
2011-05,3776
2011-06,3230
2011-07,3028
2011-08,1759
2011-09,3595
2011-10,4474
2011-11,6838
2011-12,8357
2012-01,3113
2012-02,3006
2012-03,4047
2012-04,3523
2012-05,3937
2012-06,3986
2012-07,3260
2012-08,1573
2012-09,3528
2012-10,5211
2012-11,7614
2012-12,9254
2013-01,5375
2013-02,3088
2013-03,3718
2013-04,4514
2013-05,4520
2013-06,4539
2013-07,3663
2013-08,1643
2013-09,4739
2013-10,5428
2013-11,8314
2013-12,10651
2014-01,3633
2014-02,4292
2014-03,4154
2014-04,4121
2014-05,4647
2014-06,4753
2014-07,3965
2014-08,1723
2014-09,5048
2014-10,6922
2014-11,9858
2014-12,11331
2015-01,4016
2015-02,3957
2015-03,4510
2015-04,4276
2015-05,4968
2015-06,4677
2015-07,3523
2015-08,1821
2015-09,5222
2015-10,6872
2015-11,10803
2015-12,13916
2016-01,2639
2016-02,2899
2016-03,3370
2016-04,3740
2016-05,2927
2016-06,3986
2016-07,4217
2016-08,1738
2016-09,5221
2016-10,6424
2016-11,9842
2016-12,13076
2017-01,3934
2017-02,3162
2017-03,4286
2017-04,4676
2017-05,5010
2017-06,4874
2017-07,4633
2017-08,1659
2017-09,5951
2017-10,6981
2017-11,9851
2017-12,12670
2018-01,4348
2018-02,3564
2018-03,4577
2018-04,4788
2018-05,4618
2018-06,5312
2018-07,4298
2018-08,1413
2018-09,5877
