2010-02-01,2672
2010-03-01,2755
2010-04-01,2721
2010-05-01,2946
2010-06-01,3036
2010-07-01,2282
2010-08-01,2212
2010-09-01,2922
2010-10-01,4301
2010-11-01,5764
2010-12-01,7312
2011-01-01,2541
2011-02-01,2475
2011-03-01,3031
2011-04-01,3266
2011-05-01,3776
2011-06-01,3230
2011-07-01,3028
2011-08-01,1759
2011-09-01,3595
2011-10-01,4474
2011-11-01,6838
2011-12-01,8357
2012-01-01,3113
2012-02-01,3006
2012-03-01,4047
2012-04-01,3523
2012-05-01,3937
2012-06-01,3986
2012-07-01,3260
2012-08-01,1573
2012-09-01,3528
2012-10-01,5211
2012-11-01,7614
2012-12-01,9254
2013-01-01,5375
2013-02-01,3088
2013-03-01,3718
2013-04-01,4514
2013-05-01,4520
2013-06-01,4539
2013-07-01,3663
2013-08-01,1643
2013-09-01,4739
2013-10-01,5428
2013-11-01,8314
2013-12-01,10651
2014-01-01,3633
2014-02-01,4292
2014-03-01,4154
2014-04-01,4121
2014-05-01,4647
2014-06-01,4753
2014-07-01,3965
2014-08-01,1723
2014-09-01,5048
2014-10-01,6922
2014-11-01,9858
2014-12-01,11331
2015-01-01,4016
2015-02-01,3957
2015-03-01,4510
2015-04-01,4276
2015-05-01,4968
2015-06-01,4677
2015-07-01,3523
2015-08-01,1821
2015-09-01,5222
2015-10-01,6872
2015-11-01,10803
2015-12-01,13916
2016-01-01,2639
2016-02-01,2899
2016-03-01,3370
2016-04-01,3740
2016-05-01,2927
2016-06-01,3986
2016-07-01,4217
2016-08-01,1738
2016-09-01,5221
2016-10-01,6424
2016-11-01,9842
2016-12-01,13076
2017-01-01,3934
2017-02-01,3162
2017-03-01,4286
2017-04-01,4676
2017-05-01,5010
2017-06-01,4874
2017-07-01,4633
2017-08-01,1659
2017-09-01,5951
